ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,TAXONOMY_HAZUS,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD
CAN,Canada,COM,CR+,CR+PC/LWAL/CDH+ERH/H:1/COM:3B,PC1/HC/COM3,TOTAL,12.0,10100104.0,2525026.0,0.0,4032.0,12625130.0,1935.0,0.0,336.0,2505.0,,
CAN,Canada,IND,CR+,CR+PC/LWAL/CDH+ERH/H:1/IND:2,PC1/HC/IND2,TOTAL,60.0,87761205.0,29253725.0,0.0,68138.0,117014944.0,31744.0,0.0,1136.0,1288.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDL+ERL/H:1/COM:1,PC1/LC/COM1,TOTAL,644.0,1137161609.0,284290383.0,0.0,453957.0,1421451980.0,217817.0,0.0,705.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDL+ERL/H:1/COM:2,PC1/LC/COM2,TOTAL,2318.0,8860523797.0,2215130924.0,0.0,3537135.0,11075654926.0,1697173.0,0.0,1526.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDL+ERL/H:1/COM:3,PC1/LC/COM4,TOTAL,2195.0,6151589643.0,1537897347.0,0.0,2455724.0,7689487022.0,1178297.0,0.0,1119.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDL+ERL/H:1/COM:3A,PC1/LC/COM5,TOTAL,3.0,3232952.0,808237.0,0.0,1291.0,4041189.0,619.0,0.0,430.0,2504.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDL+ERL/H:1/COM:3B,PC1/LC/COM3,TOTAL,144.0,115928259.0,28982063.0,0.0,46279.0,144910333.0,22206.0,0.0,321.0,2505.0,,
CAN,Canada,IND,CR-,CR+PC/LWAL/CDL+ERL/H:1/IND:2,PC1/LC/IND2,TOTAL,748.0,1047384859.0,349128285.0,0.0,813187.0,1396513191.0,378843.0,0.0,1087.0,1288.0,,
CAN,Canada,IND,CR-,CR+PC/LWAL/CDL+ERL/H:1/IND:3,PC1/LC/IND3,TOTAL,6.0,12607706.0,4202569.0,0.0,9789.0,16810274.0,4560.0,0.0,1632.0,1288.0,,
CAN,Canada,RES,CR-,CR+PC/LWAL/CDL+ERL/H:1/RES:1,PC1/LC/RES1,TOTAL,4.0,1688711.0,298007.0,2.0,761.0,1986719.0,251.0,4.0,190.0,2219.0,,
CAN,Canada,COM,CR+,CR+PC/LWAL/CDM+ERM/H:1/COM:1,PC1/MC/COM1,TOTAL,271.0,459615544.0,114903845.0,0.0,183479.0,574519409.0,88037.0,0.0,677.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LWAL/CDM+ERM/H:1/COM:2,PC1/MC/COM2,TOTAL,921.0,3442386748.0,860596545.0,0.0,1374206.0,4302983298.0,659366.0,0.0,1492.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LWAL/CDM+ERM/H:1/COM:3,PC1/MC/COM4,TOTAL,823.0,2433213948.0,608303404.0,0.0,971343.0,3041517592.0,466066.0,0.0,1180.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LWAL/CDM+ERM/H:1/COM:3A,PC1/MC/COM5,TOTAL,3.0,3397443.0,849360.0,0.0,1356.0,4246803.0,651.0,0.0,452.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LWAL/CDM+ERM/H:1/COM:3B,PC1/MC/COM3,TOTAL,56.0,45810695.0,11452675.0,0.0,18288.0,57263372.0,8775.0,0.0,327.0,2505.0,,
CAN,Canada,IND,CR+,CR+PC/LWAL/CDM+ERM/H:1/IND:2,PC1/MC/IND2,TOTAL,307.0,419626035.0,139875324.0,0.0,325797.0,559501352.0,151780.0,0.0,1061.0,1288.0,,
CAN,Canada,IND,CR+,CR+PC/LWAL/CDM+ERM/H:1/IND:3,PC1/MC/IND3,TOTAL,8.0,15632408.0,5210803.0,0.0,12137.0,20843212.0,5654.0,0.0,1517.0,1288.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDN+ERL/H:1/COM:1,PC1/PC/COM1,TOTAL,2723.0,4625631012.0,1156407683.0,0.0,1846559.0,5782038632.0,886012.0,0.0,678.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDN+ERL/H:1/COM:2,PC1/PC/COM2,TOTAL,7016.0,26577175206.0,6644293761.0,0.0,10609651.0,33221469370.0,5090678.0,0.0,1512.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDN+ERL/H:1/COM:3,PC1/PC/COM4,TOTAL,8319.0,21906265062.0,5476566516.0,0.0,8745016.0,27382831662.0,4196002.0,0.0,1051.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDN+ERL/H:1/COM:3A,PC1/PC/COM5,TOTAL,16.0,16306945.0,4076738.0,0.0,6510.0,20383682.0,3124.0,0.0,407.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LWAL/CDN+ERL/H:1/COM:3B,PC1/PC/COM3,TOTAL,646.0,522878270.0,130719586.0,0.0,208734.0,653597878.0,100155.0,0.0,323.0,2505.0,,
CAN,Canada,IND,CR-,CR+PC/LWAL/CDN+ERL/H:1/IND:2,PC1/PC/IND2,TOTAL,2427.0,3448145344.0,1149381797.0,0.0,2677132.0,4597527234.0,1247208.0,0.0,1103.0,1288.0,,
CAN,Canada,IND,CR-,CR+PC/LWAL/CDN+ERL/H:1/IND:3,PC1/PC/IND3,TOTAL,21.0,42123559.0,14041186.0,0.0,32705.0,56164746.0,15236.0,0.0,1557.0,1288.0,,
CAN,Canada,RES,CR-,CR+PC/LWAL/CDN+ERL/H:1/RES:1,PC1/PC/RES1,TOTAL,10.0,4473015.0,789353.0,16.0,2016.0,5262372.0,664.0,10.0,202.0,2219.0,,
CAN,Canada,RES,CR-,CR+PC/LWAL/CDN+ERL/H:1/RES:2,PC1/PC/RES3A,TOTAL,1.0,1073806.0,189495.0,7.0,484.0,1263302.0,159.0,2.0,484.0,2219.0,,
CAN,Canada,COM,CR-,CR/LFINF/CDL+ERL/H:1-3/COM:1,C3L/LC/COM1,TOTAL,514.0,833507826.0,208376975.0,0.0,332738.0,1041884822.0,145174.0,0.0,647.0,2505.0,,
CAN,Canada,COM,CR-,CR/LFINF/CDL+ERL/H:1-3/COM:2,C3L/LC/COM2,TOTAL,23.0,91948372.0,22987094.0,0.0,36706.0,114935464.0,16015.0,0.0,1596.0,2505.0,,
CAN,Canada,COM,CR-,CR/LFINF/CDL+ERL/H:1-3/COM:3,C3L/LC/COM4,TOTAL,471.0,1419526517.0,354881711.0,0.0,566677.0,1774408198.0,247242.0,0.0,1203.0,2505.0,,
