ID_0,NAME_0,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
KNA,Saint Kitts and Nevis,Ind,321.0,51770654.18848167,29611117.539267015,22461086.910994764,0.0,0.0,200202.53086419753,103842858.63874346,623.683896773201,518.6890404956105
KNA,Saint Kitts and Nevis,Res,14132.0,288783732.10209423,319194490.4141361,375950952.55183244,15054.0,54699.0,4895751.460416666,983929175.0680628,346.43019108524385,200.97612859299903
LCA,Saint Lucia,Com,1948.9721981229388,126433010.77373183,127657822.15880883,127318662.90772136,0.0,0.0,554039.470558459,381409495.84026206,284.2726392362375,688.4157467261495
LCA,Saint Lucia,Ind,1048.6212972071019,59266303.19887592,43172588.58219165,30315690.502079878,0.0,0.0,353644.261381561,132754582.28314744,337.24688056923617,375.3901781539534
LCA,Saint Lucia,Res,46113.0,733463603.2311966,985945605.6151338,1211805869.936483,48030.0,183629.49291866293,11608698.337718055,2931215078.782813,251.74459128050776,252.50161503972788
VCT,Saint Vincent and the Grenadines,Com,1465.0,183971288.79581153,189553370.4712042,178140630.7853403,0.0,0.0,794242.0,551665290.052356,542.1447098976109,694.580858293009
VCT,Saint Vincent and the Grenadines,Ind,374.0,22803731.308900524,16716870.942408375,11363120.261780106,0.0,0.0,140053.21183975984,50883722.513089,374.4738284485557,363.31706959571187
VCT,Saint Vincent and the Grenadines,Res,27319.0,397183157.00837696,549790823.3340313,492968245.9612565,28693.0,106022.0,8011543.935454546,1439942226.303665,293.2590481150315,179.73342440666124
TTO,Trinidad and Tobago,Com,6885.375650884739,1615254026.5330684,1238813106.6799624,1278406005.2087607,0.0,0.0,2584916.9059510157,4132473138.4217916,375.4213331292775,1598.6870328047992
TTO,Trinidad and Tobago,Ind,20042.0,2999846848.2482643,1604038347.7129219,1640831469.158252,0.0,0.0,5921751.000002709,6244716665.119438,295.4670691549102,1054.5388796517418
TTO,Trinidad and Tobago,Res,366375.0,12656739121.590103,12910894307.959541,18498235700.875473,415329.0,1399499.4822229054,41804792.83767714,44065869130.42512,114.10383579031632,1054.0865326501546
TCA,Turks and Caicos Islands,Com,680.0,92616423.21904764,69270235.46666667,81252914.07619049,0.0,0.0,179484.0,243139572.76190478,263.9470588235294,1354.6587593429206
TCA,Turks and Caicos Islands,Ind,266.0,27437269.607142862,15225066.428571431,12601810.392857144,0.0,0.0,108241.06734006734,55264146.42857143,406.92130578972683,510.5654238880037
TCA,Turks and Caicos Islands,Res,11256.0,489479275.4835715,495875038.0126191,506419988.32761914,11803.0,34631.0,3620260.673055555,1491774301.8238096,321.6294130291005,412.06267629472364
VIR,US Virgin Islands,Com,3262.5,4915215055.0,3695448009.0,1031644595.0,,0.0,2685630.408682057,9642307653.0,823.1817344619333,3590.3330636369483
VIR,US Virgin Islands,Ind,779.8,1408981262.0,799705844.0,148936906.0,,0.0,588607.0430144939,2357624016.0,754.8179571870915,4005.429503401212
VIR,US Virgin Islands,Res,38844.8,7573262173.0,12151898358.0,2994021027.0,,106405.0,9446796.123918327,22719181548.0,243.19332636333115,2404.9615605101653
