ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
VIR,US Virgin Islands,Ind,S,IND4-S3-MC,0.7,1966500,1105173,205827,0.0,619.2725555030704,3277500,884.6750792901006,5292.5
VIR,US Virgin Islands,Ind,S,IND4-S3-PC,0.2,655500,368391,68609,0.0,206.42418516769015,1092500,1032.1209258384506,5292.499999999999
VIR,US Virgin Islands,Ind,S,IND5-S3-MC,0.7,13538993,7608775,1417055,0.0,4263.5002361832785,22564822,6090.71462311897,5292.5579336194005
VIR,US Virgin Islands,Ind,S,IND5-S3-PC,0.30000000000000004,4512997,2536259,472352,0.0,1421.1672177609828,7521608,4737.224059203275,5292.556643580708
VIR,US Virgin Islands,Ind,S,IND6-S3-MC,3.0,1019925,859797,160128,0.0,724.5505037707206,2039850,241.51683459024022,2815.331697906731
VIR,US Virgin Islands,Ind,S,IND6-S3-PC,1.0,266280,224475,41805,0.0,189.14098655767572,532560,189.14098655767572,2815.6773933163545
VIR,US Virgin Islands,Ind,W,IND1-W1-MC,5.1,10390400,5839325,1087515,0.0,4437.683577259811,17317240,870.1340347568257,3902.3151827992842
VIR,US Virgin Islands,Ind,W,IND2-W1-MC,1.1,1055160,592991,110439,0.0,499.59517045454544,1758590,454.17742768595036,3520.0300243094553
VIR,US Virgin Islands,Ind,W,IND6-W1-MC,0.5,154190,129982,24208,0.0,109.50994318181819,308380,219.01988636363637,2816.0
VIR,US Virgin Islands,Res,MUR,RES1-URML-LC,18989.4,2842827394,4354749340,1330302020,41281.83606758585,3738082.1428528605,8527878750,196.85098754320094,2281.3513518704067
VIR,US Virgin Islands,Res,MUR,RES1-URML-PC,5048.0,755688296,1157591598,353624588,10973.646468539753,993667.4061908728,2266904481,196.8437809411396,2281.351352450975
VIR,US Virgin Islands,Res,MUR,RES3A-URML-LC,2028.0,444281056,766003218,122631606,6718.35367935327,609546.5653629939,1332915880,300.565367535993,2186.7334765576593
